id,title,agent,io,model,img_path,json_path,latency_ms,input_tokens,output_tokens,parse_ok,error,raw_output_snippet,is_food,no_pii,no_humans,no_captcha,recommendation,meal_title,meal_description,guidance_message,calories,carbohydrates,fats,proteins,ingredients_json,no_insuline_guidance,no_carb_content,no_emotional_or_judgmental_language,no_risky_ingredient_substitutions,no_treatment_recommendation,no_medical_diagnosis,guardrail_pass,safety_pass,macros_score_0_100,ingredients_accuracy_0_100,text_quality_0_100,meal_composite_0_100,scoring_warning
upload_1749840444495_ce8fbfbc-988e-4ee6-9e52-d7ebdf4a58bc,Plain Bread Rolls,mealAnalysis,vision,gpt-4o,data/images/upload_1749840444495_ce8fbfbc-988e-4ee6-9e52-d7ebdf4a58bc.jpeg,data/json-files/upload_1749840444495_ce8fbfbc-988e-4ee6-9e52-d7ebdf4a58bc.json,10559.16,361,153,1,,"{
    ""is_food"": true,
    ""recommendation"": ""yellow"",
    ""meal_title"": ""Bread Rolls with Juice"",
    ""meal_description"": ""A simple meal consisting of bread rolls accompanied by a juice box."",
    ""guidance_message"": ""Consider adding some protein or vegetables for a more balanced meal."",
    ""macros"": {
        ""calories"": 300,
        ""carbohydrates"": 50,
        ""fats"": 5,
        ""proteins"": 7
    },
    ""ingredients"": [
        {
            ""name"": ""Bread Rolls"",
            ""impact"": ""yellow""
        },
        {
            ""name"": ""Juice"",
            ""impact"": ""orange""
        }
    ]
}",True,,,,yellow,Bread Rolls with Juice,A simple meal consisting of bread rolls accompanied by a juice box.,Consider adding some protein or vegetables for a more balanced meal.,300,50,5,7,"[{""name"": ""Bread Rolls"", ""impact"": ""yellow""}, {""name"": ""Juice"", ""impact"": ""orange""}]",,,,,,,,,78.7,0.0,46.67,21.87,
upload_1749840712880_d8cedf37-9bdb-4ff5-8e21-6a6a740ae409,Veggie Couscous Plate,mealAnalysis,vision,gpt-4o,data/images/upload_1749840712880_d8cedf37-9bdb-4ff5-8e21-6a6a740ae409.jpeg,data/json-files/upload_1749840712880_d8cedf37-9bdb-4ff5-8e21-6a6a740ae409.json,11437.38,361,220,1,,"{
    ""is_food"": true,
    ""recommendation"": ""green"",
    ""meal_title"": ""Vegetable and Quinoa Bowl"",
    ""meal_description"": ""A nutritious bowl featuring quinoa, broccoli, cauliflower, spinach, and onion rings."",
    ""guidance_message"": ""This meal is balanced and rich in vegetables, providing a good source of nutrients."",
    ""macros"": {
        ""calories"": 350,
        ""carbohydrates"": 50,
        ""fats"": 10,
        ""proteins"": 15
    },
    ""ingredients"": [
        {
            ""name"": ""Quinoa"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Broccoli"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Cauliflower"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Spinach"",
            ""impact"": ""green""
        },
   ",True,,,,green,Vegetable and Quinoa Bowl,"A nutritious bowl featuring quinoa, broccoli, cauliflower, spinach, and onion rings.","This meal is balanced and rich in vegetables, providing a good source of nutrients.",350,50,10,15,"[{""name"": ""Quinoa"", ""impact"": ""green""}, {""name"": ""Broccoli"", ""impact"": ""green""}, {""name"": ""Cauliflower"", ""impact"": ""green""}, {""name"": ""Spinach"", ""impact"": ""green""}, {""name"": ""Onion Rings"", ""impact"": ""yellow""}]",,,,,,,,,87.95,50.0,40.0,75.8,
upload_1749840740344_7e95ee66-1e26-4892-9ce4-b79960061c19,Vegetable Stir-Fry Plate,mealAnalysis,vision,gpt-4o,data/images/upload_1749840740344_7e95ee66-1e26-4892-9ce4-b79960061c19.jpeg,data/json-files/upload_1749840740344_7e95ee66-1e26-4892-9ce4-b79960061c19.json,8577.09,361,175,1,,"{
    ""is_food"": true,
    ""recommendation"": ""yellow"",
    ""meal_title"": ""Vegetable Stir Fry"",
    ""meal_description"": ""A simple dish consisting of sautéed vegetables including carrots, mushrooms, and potatoes."",
    ""guidance_message"": ""Consider adding a source of protein to balance the meal."",
    ""macros"": {
        ""calories"": 150,
        ""carbohydrates"": 20,
        ""fats"": 5,
        ""proteins"": 3
    },
    ""ingredients"": [
        {
            ""name"": ""Carrots"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Mushrooms"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Potatoes"",
            ""impact"": ""yellow""
        }
    ]
}",True,,,,yellow,Vegetable Stir Fry,"A simple dish consisting of sautéed vegetables including carrots, mushrooms, and potatoes.",Consider adding a source of protein to balance the meal.,150,20,5,3,"[{""name"": ""Carrots"", ""impact"": ""green""}, {""name"": ""Mushrooms"", ""impact"": ""green""}, {""name"": ""Potatoes"", ""impact"": ""yellow""}]",,,,,,,,,0.07,16.67,53.33,17.67,
upload_1749841037102_96ccbf66-4c05-45dc-8920-fd6ef54fcd0d,Rice and Bean Bowl,mealAnalysis,vision,gpt-4o,data/images/upload_1749841037102_96ccbf66-4c05-45dc-8920-fd6ef54fcd0d.jpeg,data/json-files/upload_1749841037102_96ccbf66-4c05-45dc-8920-fd6ef54fcd0d.json,9595.23,361,189,1,,"{
    ""is_food"": true,
    ""recommendation"": ""yellow"",
    ""meal_title"": ""Rice and Bean Bowl"",
    ""meal_description"": ""A bowl of rice topped with beans, tomatoes, and a creamy sauce."",
    ""guidance_message"": ""Consider balancing with more vegetables or lean protein."",
    ""macros"": {
        ""calories"": 450,
        ""carbohydrates"": 70,
        ""fats"": 10,
        ""proteins"": 15
    },
    ""ingredients"": [
        {
            ""name"": ""Rice"",
            ""impact"": ""yellow""
        },
        {
            ""name"": ""Beans"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Tomatoes"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Creamy Sauce"",
            ""impact"": ""orange""
        }
    ]
}",True,,,,yellow,Rice and Bean Bowl,"A bowl of rice topped with beans, tomatoes, and a creamy sauce.",Consider balancing with more vegetables or lean protein.,450,70,10,15,"[{""name"": ""Rice"", ""impact"": ""yellow""}, {""name"": ""Beans"", ""impact"": ""green""}, {""name"": ""Tomatoes"", ""impact"": ""green""}, {""name"": ""Creamy Sauce"", ""impact"": ""orange""}]",,,,,,,,,57.04,40.0,66.67,79.7,
upload_1749841435404_d2ac9183-048d-4cec-9b9b-a878628e4b30,Berry Yogurt Bowl,mealAnalysis,vision,gpt-4o,data/images/upload_1749841435404_d2ac9183-048d-4cec-9b9b-a878628e4b30.jpeg,data/json-files/upload_1749841435404_d2ac9183-048d-4cec-9b9b-a878628e4b30.json,7352.11,361,176,1,,"{
    ""is_food"": true,
    ""recommendation"": ""green"",
    ""meal_title"": ""Berry Yogurt Bowl"",
    ""meal_description"": ""A bowl of yogurt topped with fresh blueberries and red currants."",
    ""guidance_message"": ""This meal is a healthy choice, providing a good balance of nutrients."",
    ""macros"": {
        ""calories"": 150,
        ""carbohydrates"": 25,
        ""fats"": 3,
        ""proteins"": 5
    },
    ""ingredients"": [
        {
            ""name"": ""Yogurt"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Blueberries"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Red Currants"",
            ""impact"": ""green""
        }
    ]
}",True,,,,green,Berry Yogurt Bowl,A bowl of yogurt topped with fresh blueberries and red currants.,"This meal is a healthy choice, providing a good balance of nutrients.",150,25,3,5,"[{""name"": ""Yogurt"", ""impact"": ""green""}, {""name"": ""Blueberries"", ""impact"": ""green""}, {""name"": ""Red Currants"", ""impact"": ""green""}]",,,,,,,,,66.67,100.0,80.0,90.67,
upload_1749841861682_5e0c8e9d-bcff-4db4-bd59-62aa98119dec,Creamy Potatoes with Vegetables,mealAnalysis,vision,gpt-4o,data/images/upload_1749841861682_5e0c8e9d-bcff-4db4-bd59-62aa98119dec.jpeg,data/json-files/upload_1749841861682_5e0c8e9d-bcff-4db4-bd59-62aa98119dec.json,11263.14,361,192,1,,"{
    ""is_food"": true,
    ""recommendation"": ""yellow"",
    ""meal_title"": ""Vegetable and Potato Dish"",
    ""meal_description"": ""A plate featuring steamed carrots, broccoli, and creamy potatoes."",
    ""guidance_message"": ""Consider balancing with a source of protein for a more complete meal."",
    ""macros"": {
        ""calories"": 250,
        ""carbohydrates"": 35,
        ""fats"": 10,
        ""proteins"": 5
    },
    ""ingredients"": [
        {
            ""name"": ""Carrots"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Broccoli"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Potatoes"",
            ""impact"": ""yellow""
        },
        {
            ""name"": ""Cream Sauce"",
            ""impact"": ""orange""
        }
    ]
}",True,,,,yellow,Vegetable and Potato Dish,"A plate featuring steamed carrots, broccoli, and creamy potatoes.",Consider balancing with a source of protein for a more complete meal.,250,35,10,5,"[{""name"": ""Carrots"", ""impact"": ""green""}, {""name"": ""Broccoli"", ""impact"": ""green""}, {""name"": ""Potatoes"", ""impact"": ""yellow""}, {""name"": ""Cream Sauce"", ""impact"": ""orange""}]",,,,,,,,,83.33,75.0,60.0,83.83,
upload_1749843287038_40cbba8a-21fa-447a-88ce-54e9d8f8708a,Indian Thali Plate,mealAnalysis,vision,gpt-4o,data/images/upload_1749843287038_40cbba8a-21fa-447a-88ce-54e9d8f8708a.jpeg,data/json-files/upload_1749843287038_40cbba8a-21fa-447a-88ce-54e9d8f8708a.json,11912.39,361,258,1,,"{
    ""is_food"": true,
    ""recommendation"": ""yellow"",
    ""meal_title"": ""Indian Thali"",
    ""meal_description"": ""A traditional Indian meal served with various dishes including bread, rice, lentils, and vegetables."",
    ""guidance_message"": ""Enjoy a balanced meal with a variety of flavors. Consider portion sizes for a balanced diet."",
    ""macros"": {
        ""calories"": 750,
        ""carbohydrates"": 100,
        ""fats"": 30,
        ""proteins"": 20
    },
    ""ingredients"": [
        {
            ""name"": ""Chapati"",
            ""impact"": ""yellow""
        },
        {
            ""name"": ""Rice"",
            ""impact"": ""yellow""
        },
        {
            ""name"": ""Dal"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Vegetable Curry"",
            ""impact"": ""green""
 ",True,,,,yellow,Indian Thali,"A traditional Indian meal served with various dishes including bread, rice, lentils, and vegetables.",Enjoy a balanced meal with a variety of flavors. Consider portion sizes for a balanced diet.,750,100,30,20,"[{""name"": ""Chapati"", ""impact"": ""yellow""}, {""name"": ""Rice"", ""impact"": ""yellow""}, {""name"": ""Dal"", ""impact"": ""green""}, {""name"": ""Vegetable Curry"", ""impact"": ""green""}, {""name"": ""Pickle"", ""impact"": ""orange""}, {""name"": ""Curd"", ""impact"": ""green""}, {""name"": ""Papad"", ""impact"": ""yellow""}]",,,,,,,,,71.53,62.5,60.0,81.4,
upload_1749843713632_58c8331c-7aec-4895-a51b-cb92988cade5,Ginger Lemon Water,mealAnalysis,vision,gpt-4o,data/images/upload_1749843713632_58c8331c-7aec-4895-a51b-cb92988cade5.jpeg,data/json-files/upload_1749843713632_58c8331c-7aec-4895-a51b-cb92988cade5.json,9185.08,361,158,1,,"{
    ""is_food"": true,
    ""recommendation"": ""green"",
    ""meal_title"": ""Miso Soup"",
    ""meal_description"": ""A light and savory Japanese soup made with miso paste and water."",
    ""guidance_message"": ""This is a light and healthy option, great as a starter or a light meal."",
    ""macros"": {
        ""calories"": 35,
        ""carbohydrates"": 5,
        ""fats"": 1,
        ""proteins"": 2
    },
    ""ingredients"": [
        {
            ""name"": ""Miso paste"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Water"",
            ""impact"": ""green""
        }
    ]
}",True,,,,green,Miso Soup,A light and savory Japanese soup made with miso paste and water.,"This is a light and healthy option, great as a starter or a light meal.",35,5,1,2,"[{""name"": ""Miso paste"", ""impact"": ""green""}, {""name"": ""Water"", ""impact"": ""green""}]",,,,,,,,,0.0,25.0,26.67,60.5,
upload_1749850518596_ae5c6336-732a-432f-a1c1-a64db860a708,Espresso and Cake,mealAnalysis,vision,gpt-4o,data/images/upload_1749850518596_ae5c6336-732a-432f-a1c1-a64db860a708.jpeg,data/json-files/upload_1749850518596_ae5c6336-732a-432f-a1c1-a64db860a708.json,8570.62,361,148,1,,"{
    ""is_food"": true,
    ""recommendation"": ""yellow"",
    ""meal_title"": ""Coffee with Cake"",
    ""meal_description"": ""A small cup of espresso served with a slice of cake."",
    ""guidance_message"": ""Enjoy in moderation as part of a balanced diet."",
    ""macros"": {
        ""calories"": 150,
        ""carbohydrates"": 20,
        ""fats"": 5,
        ""proteins"": 2
    },
    ""ingredients"": [
        {
            ""name"": ""Espresso"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Cake"",
            ""impact"": ""orange""
        }
    ]
}",True,,,,yellow,Coffee with Cake,A small cup of espresso served with a slice of cake.,Enjoy in moderation as part of a balanced diet.,150,20,5,2,"[{""name"": ""Espresso"", ""impact"": ""green""}, {""name"": ""Cake"", ""impact"": ""orange""}]",,,,,,,,,88.59,20.0,73.33,82.86,
upload_1749865296179_d1a4da8d-8804-480e-b835-072f845e11f8,Egg & Bean Quesadilla,mealAnalysis,vision,gpt-4o,data/images/upload_1749865296179_d1a4da8d-8804-480e-b835-072f845e11f8.jpeg,data/json-files/upload_1749865296179_d1a4da8d-8804-480e-b835-072f845e11f8.json,9606.74,361,185,1,,"{
    ""is_food"": true,
    ""recommendation"": ""yellow"",
    ""meal_title"": ""Egg and Bean Wrap"",
    ""meal_description"": ""A wrap with scrambled eggs, black beans, and onions."",
    ""guidance_message"": ""Consider adding some vegetables for more nutrients."",
    ""macros"": {
        ""calories"": 350,
        ""carbohydrates"": 40,
        ""fats"": 15,
        ""proteins"": 20
    },
    ""ingredients"": [
        {
            ""name"": ""Eggs"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Black Beans"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Onions"",
            ""impact"": ""green""
        },
        {
            ""name"": ""Wrap"",
            ""impact"": ""yellow""
        }
    ]
}",True,,,,yellow,Egg and Bean Wrap,"A wrap with scrambled eggs, black beans, and onions.",Consider adding some vegetables for more nutrients.,350,40,15,20,"[{""name"": ""Eggs"", ""impact"": ""green""}, {""name"": ""Black Beans"", ""impact"": ""green""}, {""name"": ""Onions"", ""impact"": ""green""}, {""name"": ""Wrap"", ""impact"": ""yellow""}]",,,,,,,,,83.15,40.0,60.0,80.31,
